Link.de.descarga,Genero,Jurisdiccion,Universo,Sector,Dato,Fecha_inicio,Fecha_final
https://cdn.produccion.gob.ar/cdn-cep/percentiles-salarios/percentiles_todos_total_priv.csv,NO,NO,Privado,NO,Percentil Salario,2013-01-01,2022-09-01
https://cdn.produccion.gob.ar/cdn-cep/percentiles-salarios/percentiles_todos_total_tot_emp.csv,NO,NO,Total empresas,NO,Percentil Salario,2013-01-01,2022-09-01
https://cdn.produccion.gob.ar/cdn-cep/percentiles-salarios/percentiles_todos_total_pub.csv,NO,NO,Público,NO,Percentil Salario,2013-01-01,2022-09-01
https://cdn.produccion.gob.ar/cdn-cep/percentiles-salarios/percentiles_todos_total_total.csv,NO,NO,Total empleo,NO,Percentil Salario,2013-01-01,2022-09-01
https://cdn.produccion.gob.ar/cdn-cep/percentiles-salarios/percentiles_mujer_total_priv.csv,SI,NO,Privado,NO,Percentil Salario,2013-01-01,2022-09-01
https://cdn.produccion.gob.ar/cdn-cep/percentiles-salarios/percentiles_mujer_total_pub.csv,SI,NO,Público,NO,Percentil Salario,2013-01-01,2022-09-01
https://cdn.produccion.gob.ar/cdn-cep/percentiles-salarios/percentiles_mujer_letra_priv.csv,SI,NO,Privado,Letra,Percentil Salario,2013-01-01,2022-09-01
https://cdn.produccion.gob.ar/cdn-cep/percentiles-salarios/percentiles_mujer_letra_tot_emp.csv,SI,NO,Total empresas,Letra,Percentil Salario,2013-01-01,2022-09-01
https://cdn.produccion.gob.ar/cdn-cep/percentiles-salarios/percentiles_mujer_letra_total.csv,SI,NO,Total empleo,Letra,Percentil Salario,2013-01-01,2022-09-01
https://cdn.produccion.gob.ar/cdn-cep/percentiles-salarios/percentiles_mujer_clae2_priv.csv,SI,NO,Privado,CLAE2,Percentil Salario,2013-01-01,2022-09-01
https://cdn.produccion.gob.ar/cdn-cep/percentiles-salarios/percentiles_mujer_clae2_tot_emp.csv,SI,NO,Total empresas,CLAE2,Percentil Salario,2013-01-01,2022-09-01
https://cdn.produccion.gob.ar/cdn-cep/percentiles-salarios/percentiles_mujer_clae2_total.csv,SI,NO,Total empleo,CLAE2,Percentil Salario,2013-01-01,2022-09-01
https://cdn.produccion.gob.ar/cdn-cep/percentiles-salarios/percentiles_todos_clae2_priv.csv,NO,NO,Privado,CLAE2,Percentil Salario,2013-01-01,2022-09-01
https://cdn.produccion.gob.ar/cdn-cep/percentiles-salarios/percentiles_todos_clae2_tot_emp.csv,NO,NO,Total empresas,CLAE2,Percentil Salario,2013-01-01,2022-08-01
https://cdn.produccion.gob.ar/cdn-cep/percentiles-salarios/percentiles_todos_clae2_total.csv,NO,NO,Total empleo,CLAE2,Percentil Salario,2013-01-01,2022-09-01
https://cdn.produccion.gob.ar/cdn-cep/percentiles-salarios/percentiles_todos_letra_priv.csv,NO,NO,Privado,Letra,Percentil Salario,2013-01-01,2022-09-01
https://cdn.produccion.gob.ar/cdn-cep/percentiles-salarios/percentiles_todos_letra_tot_emp.csv,NO,NO,Total empresas,Letra,Percentil Salario,2013-01-01,2022-09-01
https://cdn.produccion.gob.ar/cdn-cep/percentiles-salarios/percentiles_todos_letra_total.csv,NO,NO,Total empleo,Letra,Percentil Salario,2013-01-01,2022-09-01
https://cdn.produccion.gob.ar/cdn-cep/datos-por-departamento/puestos/puestos_depto_priv_por_clae2.csv,NO,Departamento vivienda,Privado,CLAE2,Puestos depto,2014-01-01,2022-09-01
